k,(a) W dejansko,(a) W teoretično,(a) Razlika,(b) WW dejansko,(b) WW teoretično,(b) Razlika,(c) RCW dejansko,(c) RCW teoretično,(c) Razlika
10,125000,36580.0,88420.0,4292500,392550.00000000006,3899950.0,399.9205338329363,342.81571047631417,57.10482335662215
11,166375,48005.00000000001,118370.0,6267800,561500.0,5706300.0,450.2973433118621,389.45442438108853,60.84291893077358
12,216000,61630.00000000001,154370.0,8857200,781100.0,8076100.0,501.58444955420066,436.8912532144125,64.69319633978819
13,274625,77655.00000000001,196970.0,12176450,1060750.0,11115700.0,553.705817481727,484.8696909822802,68.83612649944678
14,343000,96280.0,246720.0,16351300,1410650.0000000002,14940650.0,606.5971460693077,533.2332217617114,73.36392430759622
15,421875,117705.00000000001,304170.0,21517500,1841800.0000000002,19675700.0,660.2033445829423,581.8806815997596,78.3226629831828
16,512000,142130.0,369870.0,27820800,2366000.0,25454800.0,714.4766846312715,630.7436668526188,83.73301777865265
17,614125,169755.00000000003,444370.0,35416950,2995850.0,32421100.0,769.3754158794304,679.7742122364411,89.60120364298928
18,729000,200780.0,528220.0,44471700,3744750.0000000005,40726950.0,824.8627085127283,728.9376597564903,95.92504875623797
19,857375,235405.0,621970.0,55160800,4626900.000000001,50533900.0,880.905831368847,778.20832768376,102.69750368508699
20,1000000,273830.0,726170.0,67670000,5657300.000000001,62012700.0,937.4755035278984,827.5667724047955,109.90873112310283
