k,(a) W dejansko,(a) W teoretično,(a) Razlika,(b) WW dejansko,(b) WW teoretično,(b) Razlika,(c) RCW dejansko,(c) RCW teoretično,(c) Razlika
10,36580,36580.0,0.0,392550,392550.00000000006,-5.820766091346741e-11,497.75979335420556,342.81571047631417,154.9440828778914
11,48005,48005.00000000001,-7.275957614183426e-12,561500,561500.0,0.0,546.3029684883151,389.45442438108853,156.84854410722653
12,61630,61630.00000000001,-7.275957614183426e-12,781100,781100.0,0.0,595.1468772343235,436.8912532144125,158.255624019911
13,77655,77655.00000000001,-1.4551915228366852e-11,1060750,1060750.0,0.0,644.2066120796459,484.8696909822802,159.3369210973657
14,96280,96280.0,0.0,1410650,1410650.0000000002,-2.3283064365386963e-10,693.4266213064501,533.2332217617114,160.19339954473867
15,117705,117705.00000000001,-1.4551915228366852e-11,1841800,1841800.0000000002,-2.3283064365386963e-10,742.7689844804391,581.8806815997596,160.8883028806796
16,142130,142130.0,0.0,2366000,2366000.0,0.0,792.2069090105401,630.7436668526188,161.4632421579213
17,169755,169755.00000000003,-2.9103830456733704e-11,2995850,2995850.0,0.0,841.7209155585981,679.7742122364411,161.94670332215696
18,200780,200780.0,0.0,3744750,3744750.0000000005,-4.656612873077393e-10,891.2964958266288,728.9376597564903,162.3588360701384
19,235405,235405.0,0.0,4626900,4626900.000000001,-9.313225746154785e-10,940.922618328426,778.20832768376,162.714290644666
20,273830,273830.0,0.0,5657300,5657300.000000001,-9.313225746154785e-10,990.590743651101,827.5667724047955,163.02397124630545
